"date","communication","utilities","development","entertainment","uncategorized","learning","design","news","undefined","business","shopping","social"
"2021-09-17T12:00:00",253,165,164,,2197,228,,,,1148,,
"2021-09-17T14:00:00",,92,,,,,,,,39,,
"2021-09-17T15:00:00",66,156,1562,,201,,1,,,904,,
"2021-09-17T16:00:00",30,190,85,1150,23,,,,,109,4,
"2021-09-17T17:00:00",67,61,4,,3,17,,,,326,,
"2021-09-17T18:00:00",366,20,,,,,,28,,39,,
"2021-09-17T19:00:00",589,8,238,,,38,,57,,12,,
"2021-09-17T20:00:00",681,49,255,,35,214,,30,,,,
"2021-09-17T21:00:00",435,222,149,,97,455,1359,,,9,,
"2021-09-17T22:00:00",388,340,594,,142,129,1083,,,889,,
"2021-09-17T23:00:00",558,210,160,307,643,445,1230,,,,,20
"2021-09-18T00:00:00",727,409,,386,48,587,1184,235,,,,
"2021-09-18T01:00:00",195,386,19,7,597,580,1627,110,,23,,38
"2021-09-18T02:00:00",493,147,,361,137,219,2220,,,3,,
"2021-09-18T03:00:00",,,3,1059,57,,,,,,,2
"2021-09-18T08:00:00",,300,,,88,442,,,,,,
"2021-09-18T09:00:00",63,25,,1955,1317,260,,133,,,,
"2021-09-18T10:00:00",60,78,86,1292,1425,255,,,,1552,30,18
"2021-09-18T11:00:00",9,49,1101,1368,739,299,,9,,1217,100,
"2021-09-18T12:00:00",45,1205,576,,695,457,15,,,1013,114,
"2021-09-18T13:00:00",517,269,164,,1215,223,21,31,,1199,662,
"2021-09-18T14:00:00",61,1528,645,609,265,405,,17,,291,,22
"2021-09-18T15:00:00",463,492,1408,,906,173,16,27,,69,,
"2021-09-18T16:00:00",,843,1254,,460,,,,,499,,
"2021-09-18T17:00:00",263,252,,2660,668,123,108,,,398,,
"2021-09-18T18:00:00",2290,454,887,97,179,275,,,,640,,237
"2021-09-18T19:00:00",281,,2,,331,,,,,,,
"2021-09-18T20:00:00",129,497,,1624,15,10,12,,,,,
"2021-09-18T21:00:00",180,191,,820,871,979,,144,,,27,
"2021-09-18T22:00:00",11,159,,,826,380,,337,,,1043,
"2021-09-19T01:00:00",,85,,361,10,,,4,,,3,
"2021-09-19T02:00:00",,95,,,1515,25,,,,,,
"2021-09-19T09:00:00",,2024,139,,885,1571,21,247,,699,,
"2021-09-19T10:00:00",,35,8,,531,,,,,2424,,
"2021-09-19T11:00:00",28,163,1773,,443,185,,124,,539,,
"2021-09-19T12:00:00",41,134,1769,,229,290,,,,23,,
"2021-09-19T13:00:00",10,163,1500,,117,576,,,,1,,
"2021-09-19T14:00:00",,129,2461,,421,48,,,,268,,
"2021-09-19T15:00:00",,59,884,,16,137,,,,,,
"2021-09-19T16:00:00",120,73,2866,,229,57,,,,126,,
"2021-09-19T17:00:00",110,26,3122,,24,43,,179,,14,,
"2021-09-19T18:00:00",35,64,725,535,170,34,,11,,,,
"2021-09-19T19:00:00",29,110,,1007,398,120,,,,1662,250,
"2021-09-19T20:00:00",276,181,50,,1288,675,,14,,655,,
"2021-09-19T21:00:00",49,71,,54,1856,891,,231,,,,
"2021-09-19T22:00:00",218,41,,96,198,2659,,302,,70,,
"2021-09-19T23:00:00",1882,15,,7,158,1502,,19,,,,
"2021-09-20T00:00:00",,,,,374,1442,,,,,,
"2021-09-20T06:00:00",,4,,,66,77,,,,,,
"2021-09-20T07:00:00",25,53,,49,2872,439,,,,137,,
"2021-09-20T08:00:00",24,240,15,,2064,116,,301,,948,,
"2021-09-20T09:00:00",112,42,346,2332,323,29,,,,518,,
"2021-09-20T10:00:00",60,67,492,,712,31,,,,2138,,
"2021-09-20T11:00:00",,56,1348,,369,,,,,1701,,
"2021-09-20T12:00:00",128,172,1185,18,739,109,20,,,1128,,
"2021-09-20T13:00:00",,126,2776,,536,22,,,,,,
"2021-09-20T14:00:00",131,18,496,25,99,349,,22,,19,,
"2021-09-20T15:00:00",,19,3210,,48,20,,,,131,,
"2021-09-20T16:00:00",,134,2307,,484,19,,,,67,,
"2021-09-20T17:00:00",381,79,497,21,572,171,,,,960,,
"2021-09-20T18:00:00",158,13,,,91,487,,285,,864,,
"2021-09-20T19:00:00",951,399,,205,2,186,,204,,67,,
"2021-09-20T20:00:00",516,321,,8,1740,435,,,,62,,
"2021-09-20T21:00:00",216,332,,87,2154,343,,,,4,,
"2021-09-20T22:00:00",67,173,,650,750,1367,,48,,44,,
"2021-09-20T23:00:00",1391,309,,10,779,612,,92,,113,,
"2021-09-21T00:00:00",,,,,,,,,11,4,,
"2021-09-21T01:00:00",,29,,479,780,,,,,2,,
"2021-09-21T02:00:00",48,482,,695,53,,,,,,,
"2021-09-21T08:00:00",367,16,,,1324,73,,,,92,,
"2021-09-21T09:00:00",714,25,,130,1602,788,163,136,,10,,
"2021-09-21T10:00:00",390,116,,,1089,1543,3,361,,3,79,
"2021-09-21T11:00:00",453,24,,178,2081,414,,9,,32,,
"2021-09-21T12:00:00",35,177,,1114,1178,800,9,241,,11,,
"2021-09-21T13:00:00",148,21,,1237,63,27,507,,,97,,
"2021-09-21T14:00:00",92,23,,1191,525,14,,,,1671,,
"2021-09-21T15:00:00",11,27,,1375,147,22,,,,1723,,
"2021-09-21T16:00:00",1,2,,,2,,,,,85,,
"2021-09-21T17:00:00",2,219,,,1034,246,,,,342,1725,
"2021-09-21T18:00:00",,41,,,1633,348,,,,,919,
"2021-09-21T19:00:00",391,24,,,305,17,,,,991,93,
"2021-09-21T20:00:00",450,288,,391,434,1141,,245,,565,,
"2021-09-21T21:00:00",263,107,,1624,319,825,,28,,193,,
"2021-09-21T22:00:00",45,473,,778,1042,798,,,,396,,50
"2021-09-21T23:00:00",1936,215,220,214,2,319,,,,,,
"2021-09-22T00:00:00",1220,506,4,,485,6,,,,19,,
"2021-09-22T01:00:00",11,252,3,574,216,69,,,,113,,
"2021-09-22T02:00:00",,181,,45,2740,494,,,,78,,
"2021-09-22T03:00:00",173,24,,,828,85,345,,,78,,
"2021-09-22T09:00:00",41,25,,2840,72,297,,,,2,,
"2021-09-22T10:00:00",215,590,,123,539,500,,821,,300,,489
"2021-09-22T11:00:00",4,632,,127,417,1622,,6,,762,,
"2021-09-22T12:00:00",883,999,,,177,138,,558,,825,,
"2021-09-22T13:00:00",913,292,,,133,651,,1035,,35,22,
"2021-09-22T14:00:00",1371,401,,,1149,301,,3,,170,,179
"2021-09-22T15:00:00",61,1239,,,991,462,,,,4,,115
"2021-09-22T16:00:00",404,2195,,,743,129,,113,,,,
"2021-09-22T17:00:00",150,750,,,10,,,,,,,
"2021-09-22T19:00:00",,227,,,53,213,,,,24,,
"2021-09-22T20:00:00",13,28,4,,2407,237,,,,19,,
"2021-09-22T22:00:00",386,590,,,512,59,,111,,3,,
"2021-09-22T23:00:00",405,585,,,179,54,,,,,,
"2021-09-23T01:00:00",,26,,1440,3,7,,,,4,,
"2021-09-23T02:00:00",,7,,1204,,,,,,,,
"2021-09-23T08:00:00",,52,180,960,4,,,,,20,,
"2021-09-23T09:00:00",146,525,1633,531,466,203,194,,,101,,18
"2021-09-23T10:00:00",,211,1089,,304,19,,,,639,,
"2021-09-23T11:00:00",29,172,1011,,147,12,,,,638,,
"2021-09-23T12:00:00",1356,17,388,,171,528,,,,131,,
"2021-09-23T13:00:00",248,296,1104,,,572,,,,197,,
"2021-09-23T14:00:00",240,64,2094,,,,,,,1014,,
"2021-09-23T15:00:00",340,79,2268,,16,206,,,,190,,
"2021-09-23T16:00:00",188,37,3142,,,,,,,81,,
"2021-09-23T17:00:00",,119,1572,,162,,,,,16,,
"2021-09-23T18:00:00",,,,,565,8,,,,5,,
"2021-09-23T19:00:00",24,130,,,1908,137,,81,,25,,
"2021-09-23T20:00:00",13,59,,,518,25,4,,,478,,
"2021-09-23T21:00:00",363,51,,,1144,40,,276,,822,,
"2021-09-23T22:00:00",353,4,,,125,,,,,24,,
"2021-09-24T06:00:00",60,131,,,433,30,,,,276,,
"2021-09-24T07:00:00",749,262,,315,1904,209,,,42,66,,26
"2021-09-24T08:00:00",159,40,,1242,338,65,663,841,32,202,,
"2021-09-24T09:00:00",15,147,,,1797,11,,,21,529,,
"2021-09-24T10:00:00",48,98,10,,688,41,,,,1114,,
"2021-09-24T11:00:00",169,273,4,74,1124,906,,,3,116,,717
"2021-09-24T12:00:00",384,156,,,341,230,3,,,656,,
"2021-09-24T13:00:00",590,75,,1061,76,169,,15,,,,
"2021-09-24T14:00:00",,413,,456,330,,66,,,1559,,
"2021-09-24T15:00:00",451,325,323,,714,,38,,,1339,,
"2021-09-24T16:00:00",9,150,200,,,,,,,3,,
"2021-09-24T17:00:00",160,48,4,34,1655,34,,,,29,,
"2021-09-24T18:00:00",106,6,4,,921,761,,,,675,,
"2021-09-24T19:00:00",28,432,1020,,816,88,284,,,,,
"2021-09-24T20:00:00",2300,117,159,736,105,138,8,,,7,,
"2021-09-24T21:00:00",1549,14,304,,38,270,,29,,,,43
"2021-09-24T22:00:00",1456,60,435,237,448,260,,205,,75,,
"2021-09-24T23:00:00",251,267,1567,,537,51,,,,,,
"2021-09-25T00:00:00",2,82,920,1366,281,28,,,,,,
"2021-09-25T01:00:00",,16,394,,50,,,,,,,
"2021-09-25T06:00:00",,74,15,,255,14,,,,,,
"2021-09-25T07:00:00",196,571,810,,906,198,839,,,23,,
"2021-09-25T08:00:00",,134,1705,1049,506,104,,,30,58,,
"2021-09-25T09:00:00",218,500,2742,,709,31,,,4,194,,
"2021-09-25T10:00:00",12,109,2089,,628,,,,,642,,
"2021-09-25T11:00:00",163,215,2645,,331,270,7,,,624,,
"2021-09-25T12:00:00",,86,2680,,150,,22,,,722,,
"2021-09-25T13:00:00",50,139,461,1219,416,62,130,,,298,,
