"date","development","business","communication","utilities","uncategorized","news","entertainment","learning","focus","design","shopping","social","personal"
"2022-09-28T21:00:00",267,2,427,1559,82,,132,37,,56,344,,
"2022-09-28T22:00:00",150,4,864,1226,99,,883,298,,,72,,
"2022-09-28T23:00:00",509,,1199,448,78,,214,220,,,21,,
"2022-09-29T00:00:00",910,,777,456,144,,378,31,,,181,,76
"2022-09-29T09:00:00",1072,,163,220,53,18,949,255,,,22,,
"2022-09-29T10:00:00",202,,309,60,129,3,1,23,,1502,68,,
"2022-09-29T11:00:00",266,110,1629,141,740,,194,453,,65,,,
"2022-09-29T12:00:00",1307,,1083,383,207,37,186,67,,,,,
"2022-09-29T13:00:00",729,,2233,254,33,269,64,16,,,,,
"2022-09-29T14:00:00",776,,1437,131,260,,135,195,,,30,,
"2022-09-29T15:00:00",589,,256,61,4,,2151,11,,218,,,
"2022-09-29T16:00:00",208,,253,,,,674,,,2,,,
"2022-09-29T18:00:00",742,,1635,672,286,,7,25,,,,,
"2022-09-29T19:00:00",156,,582,66,,,,,,,,,
"2022-09-29T20:00:00",67,,1483,556,,,164,,,,,,
"2022-09-29T21:00:00",749,,562,264,330,,1228,226,,,239,,
"2022-09-29T22:00:00",890,163,726,205,157,,97,115,,380,83,,34
"2022-09-29T23:00:00",1445,393,536,126,466,,45,96,,,402,,
"2022-09-30T00:00:00",2626,22,335,306,64,8,161,61,,,,,
"2022-09-30T01:00:00",902,,62,268,533,,228,39,,,,48,
"2022-09-30T02:00:00",57,,83,37,14,,12,2,,,,,
"2022-09-30T11:00:00",,,116,8,,,166,,,,,,
"2022-09-30T12:00:00",,,,11,,,603,,,,,,29
"2022-09-30T13:00:00",287,8,,236,,,2,14,,,,,
"2022-09-30T21:00:00",,218,428,299,33,,,428,,,15,,
"2022-09-30T22:00:00",,3,117,953,135,,,39,,,,,
"2022-09-30T23:00:00",9,,93,794,,,,6,,,154,,
