"date","communication","entertainment","development","learning","uncategorized","utilities","social","shopping","news","business","design"
"2020-09-19T16:00:00",574,5,14,597,48,17,,,,,
"2020-09-19T17:00:00",948,55,1096,234,377,386,,,,,
"2020-09-19T18:00:00",535,340,24,521,609,735,,6,244,200,
"2020-09-19T19:00:00",809,49,116,663,635,222,,,7,792,
"2020-09-19T20:00:00",1807,,33,455,2102,86,,,,27,
"2020-09-19T21:00:00",243,86,,46,565,36,,,,,
"2020-09-19T22:00:00",1159,1377,40,39,802,588,,,,,
"2020-09-19T23:00:00",38,3522,,,73,825,,,,367,
"2020-09-20T00:00:00",558,2711,,,21,874,,,,34,
"2020-09-20T01:00:00",2145,1211,,19,,515,264,,,3,
"2020-09-20T02:00:00",,1392,,,83,1750,,,,,
"2020-09-20T10:00:00",1505,282,,,28,213,527,,,,
"2020-09-20T11:00:00",445,2328,21,72,254,56,444,,,,
"2020-09-20T12:00:00",1666,18,993,152,506,94,25,,266,461,5
"2020-09-20T13:00:00",457,,,22,399,16,,,,2650,
"2020-09-20T14:00:00",19,159,,,,16,201,,,539,
"2020-09-20T15:00:00",106,635,,13,332,322,607,54,,1396,
"2020-09-20T16:00:00",352,,1428,571,328,214,584,,,72,
"2020-09-20T17:00:00",252,775,1199,57,210,311,,,,228,
"2020-09-20T18:00:00",1763,,1682,126,101,100,,,,,
"2020-09-20T19:00:00",539,1845,709,,46,265,,,,,
"2020-09-20T20:00:00",1082,1458,3,200,12,1076,,,,,
"2020-09-20T21:00:00",925,1716,179,910,91,144,,,,30,
"2020-09-20T22:00:00",371,1707,,,63,152,,523,,,
"2020-09-20T23:00:00",655,214,,164,421,145,1022,,,,
"2020-09-21T00:00:00",1765,66,,,,56,,,,,
"2020-09-21T01:00:00",9,1647,,,52,34,,,,,
"2020-09-21T08:00:00",56,,,1006,20,107,,,,259,
"2020-09-21T09:00:00",176,651,540,419,147,172,324,,,112,
"2020-09-21T10:00:00",66,,2375,200,127,184,,,,587,
"2020-09-21T11:00:00",124,,2321,,44,32,1479,,,212,
"2020-09-21T12:00:00",10,,2917,16,116,34,429,,,45,
"2020-09-21T13:00:00",287,,1781,300,46,303,595,,,22,
"2020-09-21T14:00:00",2161,,782,162,575,428,,,,157,
"2020-09-21T15:00:00",2138,1107,493,84,314,127,244,,,382,
"2020-09-21T16:00:00",301,817,3,356,684,857,7,,,79,41
"2020-09-21T17:00:00",16,652,253,377,556,787,493,93,,134,
"2020-09-21T18:00:00",494,152,1133,145,1732,348,,,,8,
"2020-09-21T19:00:00",1366,1021,125,47,630,357,474,,,,
"2020-09-21T20:00:00",146,,2042,3,952,356,109,,,73,
"2020-09-21T21:00:00",469,1154,260,31,1000,120,311,,,,544
"2020-09-21T22:00:00",534,21,347,209,804,133,608,25,,4,607
"2020-09-21T23:00:00",930,,1686,441,1238,86,4,,,2,
"2020-09-22T00:00:00",3498,,1306,,10,18,,,,,
"2020-09-22T01:00:00",1421,1108,6,46,,20,789,,,,
"2020-09-22T08:00:00",65,,289,100,,112,,,,157,
"2020-09-22T09:00:00",656,56,1560,,948,323,,,,43,
"2020-09-22T10:00:00",177,1837,1197,11,168,422,,,,27,
"2020-09-22T11:00:00",1563,1594,979,2,75,139,,,,108,
"2020-09-22T12:00:00",306,,247,22,106,59,,,76,54,
"2020-09-22T13:00:00",414,,581,139,214,206,538,,1163,550,
"2020-09-22T14:00:00",128,582,1972,118,1021,476,170,,,,
"2020-09-22T15:00:00",212,1112,1369,213,437,520,,,21,2,
"2020-09-22T16:00:00",45,3290,5,,60,182,,,,,
"2020-09-22T17:00:00",1466,78,1353,,415,634,,,,143,
"2020-09-22T18:00:00",1249,133,2189,,66,128,,,,5,
"2020-09-22T19:00:00",830,180,1566,105,525,359,,,,12,
"2020-09-22T20:00:00",500,876,1933,104,49,60,,,,,10
"2020-09-22T21:00:00",129,3358,3,,100,3,,,,,
"2020-09-22T22:00:00",2618,926,,,9,25,,,,,
"2020-09-22T23:00:00",994,921,699,220,438,266,3,,23,,
"2020-09-23T00:00:00",31,,1953,413,1027,149,,,,,
"2020-09-23T01:00:00",14,733,162,62,1582,320,,,,,
"2020-09-23T08:00:00",110,692,13,7,3,155,,,,390,
"2020-09-23T09:00:00",5,1815,2388,23,442,408,,,,56,
"2020-09-23T10:00:00",,215,1720,80,1036,128,,,,603,
"2020-09-23T11:00:00",640,240,691,,899,262,598,110,,65,
"2020-09-23T12:00:00",470,808,1073,225,352,60,,,,13,
"2020-09-23T13:00:00",566,457,1243,148,475,141,,,,77,
"2020-09-23T14:00:00",89,5,2216,,420,377,20,,,356,
"2020-09-23T15:00:00",583,450,1549,23,56,546,,11,,10,
"2020-09-23T16:00:00",2350,1000,297,80,195,955,,62,,,17
"2020-09-23T17:00:00",441,392,5,140,410,1643,74,,,40,6
"2020-09-23T18:00:00",18,459,11,444,810,1485,,,352,3,
"2020-09-23T19:00:00",577,2013,,11,17,1246,,8,221,3,
"2020-09-23T20:00:00",1282,2440,161,,11,428,,,,,
"2020-09-23T21:00:00",465,140,2685,73,360,34,,,89,,
"2020-09-23T22:00:00",379,,1399,172,549,198,,,,632,413
"2020-09-23T23:00:00",313,529,28,109,20,769,98,,100,72,1883
"2020-09-24T00:00:00",88,,684,167,647,577,151,27,30,89,1328
"2020-09-24T01:00:00",85,881,,,409,295,,,,24,58
"2020-09-24T02:00:00",,,,,,3,,,,,
"2020-09-24T08:00:00",181,328,,251,460,324,,,,145,31
"2020-09-24T09:00:00",1728,1071,53,107,664,397,,,84,45,11
"2020-09-24T10:00:00",1821,,691,178,649,206,,,,935,116
"2020-09-24T11:00:00",1616,,345,73,1216,144,,,,167,
"2020-09-24T12:00:00",1660,,236,121,1350,557,,313,,191,20
"2020-09-24T13:00:00",410,1174,3,107,46,281,,,,,
"2020-09-24T14:00:00",10,1743,,,9,680,,,,,
"2020-09-24T15:00:00",8,2006,,,2,386,,,,,
"2020-09-24T16:00:00",60,3080,,,3,18,,,,,
"2020-09-24T17:00:00",736,2720,,,26,462,,,,94,
